
 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 d i s c r e t e  e l e m e n t  d a t a  f o r  t i m e   s t e p     1 ( time = 1.0000E+00 )
                matl               length
      element  number     original        current           force

          1       1      1.60000E-02     1.65309E-02     -1.06726E+02
          2       1      1.60000E-02     1.65391E-02      9.01230E+01
          3       2      1.60000E-02     1.65781E-02     -2.08336E+02
          4       2      1.60000E-02     1.65779E-02      1.91157E+02
          5       2      1.60000E-02     1.66191E-02     -2.02960E+02
          6       2      1.60000E-02     1.66225E-02      1.78151E+02
          7       2      1.60000E-02     1.66640E-02     -1.91355E+02
          8       2      1.60000E-02     1.66642E-02      1.74605E+02
          9       2      1.60000E-02     1.67051E-02     -1.92255E+02
         10       2      1.60000E-02     1.67086E-02      1.67956E+02
         11       2      1.60000E-02     1.67496E-02     -1.84779E+02
         12       2      1.60000E-02     1.67500E-02      1.68686E+02
         13       2      1.60000E-02     1.67897E-02     -1.88600E+02
         14       2      1.60000E-02     1.67935E-02      1.64597E+02
         15       2      1.60000E-02     1.68329E-02     -1.82939E+02
         16       2      1.60000E-02     1.68334E-02      1.67167E+02
         17       2      1.60000E-02     1.68709E-02     -1.88181E+02
         18       2      1.60000E-02     1.68750E-02      1.64282E+02
         19       2      1.60000E-02     1.69117E-02     -1.83507E+02
         20       2      1.60000E-02     1.69124E-02      1.67816E+02
         21       2      1.60000E-02     1.69466E-02     -1.89658E+02
         22       2      1.60000E-02     1.69512E-02      1.65587E+02
         23       2      1.60000E-02     1.69843E-02     -1.85426E+02
         24       2      1.60000E-02     1.69850E-02      1.69802E+02
         25       2      1.60000E-02     1.70154E-02     -1.92199E+02
         26       2      1.60000E-02     1.70203E-02      1.67876E+02
         27       2      1.60000E-02     1.70492E-02     -1.88187E+02
         28       2      1.60000E-02     1.70501E-02      1.72499E+02
         29       2      1.60000E-02     1.70760E-02     -1.95418E+02
         30       2      1.60000E-02     1.70812E-02      1.70588E+02
         31       2      1.60000E-02     1.71056E-02     -1.91356E+02
         32       2      1.60000E-02     1.71065E-02      1.75412E+02
         33       2      1.60000E-02     1.71276E-02     -1.98679E+02
         34       2      1.60000E-02     1.71331E-02      1.73451E+02
         35       2      1.60000E-02     1.71526E-02     -1.94385E+02
         36       2      1.60000E-02     1.71536E-02      1.78332E+02
         37       2      1.60000E-02     1.71698E-02     -2.01807E+02
         38       2      1.60000E-02     1.71756E-02      1.76282E+02
         39       2      1.60000E-02     1.71902E-02     -1.97172E+02
         40       2      1.60000E-02     1.71912E-02      1.81039E+02

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 d i s c r e t e  e l e m e n t  d a t a  f o r  t i m e   s t e p     1 ( time = 1.0000E+00 )
                matl               length
      element  number     original        current           force

         41       2      1.60000E-02     1.72025E-02     -2.04548E+02
         42       2      1.60000E-02     1.72084E-02      1.78731E+02
         43       2      1.60000E-02     1.72182E-02     -1.99661E+02
         44       2      1.60000E-02     1.72192E-02      1.83302E+02
         45       2      1.60000E-02     1.72257E-02     -2.06847E+02
         46       2      1.60000E-02     1.72317E-02      1.80702E+02
         47       2      1.60000E-02     1.72367E-02     -2.01576E+02
         48       2      1.60000E-02     1.72378E-02      1.85171E+02
         49       2      1.60000E-02     1.72396E-02     -2.08425E+02
         50       2      1.60000E-02     1.72457E-02      1.82233E+02
         51       2      1.60000E-02     1.72460E-02     -2.02895E+02
         52       2      1.60000E-02     1.72471E-02      1.86466E+02
         53       2      1.60000E-02     1.72444E-02     -2.09517E+02
         54       2      1.60000E-02     1.72505E-02      1.83183E+02
         55       2      1.60000E-02     1.72465E-02     -2.03648E+02
         56       2      1.60000E-02     1.72476E-02      1.87145E+02
         57       2      1.60000E-02     1.72405E-02     -2.09962E+02
         58       2      1.60000E-02     1.72467E-02      1.83661E+02
         59       2      1.60000E-02     1.72384E-02     -2.03803E+02
         60       2      1.60000E-02     1.72395E-02      1.87287E+02
         61       2      1.60000E-02     1.72284E-02     -2.09924E+02
         62       2      1.60000E-02     1.72345E-02      1.83597E+02
         63       2      1.60000E-02     1.72222E-02     -2.03359E+02
         64       2      1.60000E-02     1.72233E-02      1.86985E+02
         65       2      1.60000E-02     1.72084E-02     -2.09136E+02
         66       2      1.60000E-02     1.72144E-02      1.83175E+02
         67       2      1.60000E-02     1.71984E-02     -2.02557E+02
         68       2      1.60000E-02     1.71995E-02      1.86244E+02
         69       2      1.60000E-02     1.71810E-02     -2.08146E+02
         70       2      1.60000E-02     1.71869E-02      1.82152E+02
         71       2      1.60000E-02     1.71675E-02     -2.01487E+02
         72       2      1.60000E-02     1.71685E-02      1.85267E+02
         73       2      1.60000E-02     1.71468E-02     -2.06662E+02
         74       2      1.60000E-02     1.71525E-02      1.81307E+02
         75       2      1.60000E-02     1.71301E-02     -2.00449E+02
         76       2      1.60000E-02     1.71311E-02      1.83994E+02
         77       2      1.60000E-02     1.71063E-02     -2.05693E+02
         78       2      1.60000E-02     1.71122E-02      1.79356E+02
         79       2      1.60000E-02     1.70875E-02     -1.96191E+02
         80       2      1.60000E-02     1.70877E-02      1.83824E+02

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 d i s c r e t e  e l e m e n t  d a t a  f o r  t i m e   s t e p     1 ( time = 1.0000E+00 )
                matl               length
      element  number     original        current           force

         81       3      1.60000E-02     1.70615E-02     -3.92438E+02
         82       3      1.60000E-02     1.70657E-02      3.48927E+02
         83       4      1.60000E-02     1.71624E-02     -9.93434E+01
         84       4      1.60000E-02     1.71687E-02      8.97587E+01
         85       5      1.60000E-02     1.71648E-02     -1.91807E+02
         86       5      1.60000E-02     1.71654E-02      1.83831E+02
