
 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
     1  -2.32402E-04  0.00000E+00 -5.55222E-03 
     2   1.99992E-04  0.00000E+00 -5.56992E-03 
     3  -2.32061E-04  7.70557E-06 -5.55595E-03 
     4   1.99993E-04 -7.27241E-06 -5.56317E-03 
     5  -2.32331E-04  1.53863E-05 -5.54276E-03 
     6   1.99989E-04 -1.45924E-05 -5.55955E-03 
     7  -2.32027E-04  2.30255E-05 -5.53504E-03 
     8   1.99932E-04 -2.17685E-05 -5.54385E-03 
     9  -2.32143E-04  3.05995E-05 -5.51348E-03 
    10   1.99909E-04 -2.89397E-05 -5.52930E-03 
    11  -2.31795E-04  3.81040E-05 -5.49550E-03 
    12   1.99821E-04 -3.60488E-05 -5.50416E-03 
    13  -2.31895E-04  4.55104E-05 -5.46413E-03 
    14   1.99792E-04 -4.30633E-05 -5.47986E-03 
    15  -2.31535E-04  5.27872E-05 -5.43649E-03 
    16   1.99716E-04 -4.99546E-05 -5.44504E-03 
    17  -2.31633E-04  5.98968E-05 -5.39572E-03 
    18   1.99716E-04 -5.67025E-05 -5.41112E-03 
    19  -2.31319E-04  6.67931E-05 -5.35856E-03 
    20   1.99688E-04 -6.32476E-05 -5.36705E-03 
    21  -2.31470E-04  7.34374E-05 -5.30814E-03 
    22   1.99757E-04 -6.94969E-05 -5.32450E-03 
    23  -2.31168E-04  7.97984E-05 -5.26352E-03 
    24   1.99912E-04 -7.56086E-05 -5.27088E-03 
    25  -2.31811E-04  8.57854E-05 -5.20314E-03 
    26   2.00395E-04 -8.14651E-05 -5.22017E-03 
    27  -2.32444E-04  0.00000E+00 -5.71346E-03 
    28   2.01022E-04  0.00000E+00 -5.71579E-03 
    29  -2.32426E-04  7.69706E-06 -5.71289E-03 
    30   2.00918E-04 -7.28560E-06 -5.71129E-03 
    31  -2.32390E-04  1.53806E-05 -5.70390E-03 
    32   2.00983E-04 -1.45861E-05 -5.70542E-03 
    33  -2.32324E-04  2.30009E-05 -5.69242E-03 
    34   2.00869E-04 -2.17931E-05 -5.69162E-03 
    35  -2.32214E-04  3.05648E-05 -5.67417E-03 
    36   2.00874E-04 -2.89645E-05 -5.67530E-03 
    37  -2.32083E-04  3.80664E-05 -5.65263E-03 
    38   2.00736E-04 -3.60771E-05 -5.65191E-03 
    39  -2.31940E-04  4.54695E-05 -5.62461E-03 
    40   2.00728E-04 -4.31000E-05 -5.62577E-03 
    41  -2.31787E-04  5.27454E-05 -5.59341E-03 
    42   2.00590E-04 -5.00057E-05 -5.59270E-03 
    43  -2.31637E-04  5.98605E-05 -5.55590E-03 
    44   2.00595E-04 -5.67622E-05 -5.55701E-03 
    45  -2.31500E-04  6.67625E-05 -5.51537E-03 
    46   2.00494E-04 -6.33206E-05 -5.51459E-03 
    47  -2.31369E-04  7.34224E-05 -5.46868E-03 
    48   2.00564E-04 -6.96371E-05 -5.47000E-03 
    49  -2.31308E-04  7.98397E-05 -5.42024E-03 
    50   2.00547E-04 -7.57251E-05 -5.41816E-03 

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
    51  -2.31414E-04  8.58323E-05 -5.36664E-03 
    52   2.00824E-04 -8.15016E-05 -5.36380E-03 
    53  -2.31603E-04  0.00000E+00 -5.86477E-03 
    54   2.00473E-04  0.00000E+00 -5.87038E-03 
    55  -2.31597E-04  7.71432E-06 -5.86446E-03 
    56   2.00457E-04 -7.31516E-06 -5.86626E-03 
    57  -2.31541E-04  1.54024E-05 -5.85486E-03 
    58   2.00428E-04 -1.46319E-05 -5.86019E-03 
    59  -2.31470E-04  2.30447E-05 -5.84403E-03 
    60   2.00381E-04 -2.18654E-05 -5.84642E-03 
    61  -2.31350E-04  3.06219E-05 -5.82505E-03 
    62   2.00310E-04 -2.90641E-05 -5.82997E-03 
    63  -2.31217E-04  3.81291E-05 -5.80413E-03 
    64   2.00228E-04 -3.61944E-05 -5.80652E-03 
    65  -2.31050E-04  4.55360E-05 -5.77535E-03 
    66   2.00136E-04 -4.32313E-05 -5.78024E-03 
    67  -2.30884E-04  5.28110E-05 -5.74475E-03 
    68   2.00044E-04 -5.01454E-05 -5.74711E-03 
    69  -2.30699E-04  5.99184E-05 -5.70648E-03 
    70   1.99954E-04 -5.69063E-05 -5.71129E-03 
    71  -2.30526E-04  6.68143E-05 -5.66654E-03 
    72   1.99881E-04 -6.34743E-05 -5.66886E-03 
    73  -2.30348E-04  7.34683E-05 -5.61909E-03 
    74   1.99824E-04 -6.98075E-05 -5.62413E-03 
    75  -2.30224E-04  7.98401E-05 -5.57029E-03 
    76   1.99791E-04 -7.58996E-05 -5.57312E-03 
    77  -2.30120E-04  8.57946E-05 -5.51368E-03 
    78   1.99808E-04 -8.16226E-05 -5.52034E-03 
    79  -2.29318E-04  0.00000E+00 -6.01879E-03 
    80   1.98691E-04  0.00000E+00 -6.02133E-03 
    81  -2.29301E-04  7.73582E-06 -6.01725E-03 
    82   1.98673E-04 -7.34609E-06 -6.01782E-03 
    83  -2.29248E-04  1.54491E-05 -6.00893E-03 
    84   1.98644E-04 -1.46932E-05 -6.01105E-03 
    85  -2.29161E-04  2.31122E-05 -5.99678E-03 
    86   1.98582E-04 -2.19626E-05 -5.99787E-03 
    87  -2.29039E-04  3.07106E-05 -5.97889E-03 
    88   1.98508E-04 -2.91871E-05 -5.98078E-03 
    89  -2.28888E-04  3.82328E-05 -5.95670E-03 
    90   1.98407E-04 -3.63422E-05 -5.95782E-03 
    91  -2.28712E-04  4.56497E-05 -5.92899E-03 
    92   1.98303E-04 -4.33984E-05 -5.93087E-03 
    93  -2.28518E-04  5.29293E-05 -5.89711E-03 
