element_id,layer,cx_in,cy_in,cz_in,po_sx,po_sy,po_sz,po_sxy,po_syz,po_szx,ae_sx,ae_sy,ae_sz,ae_sxy,ae_syz,ae_sxz,max_abs_diff_psi,rel_to_peak_pct
1,1,2.1000,2.0000,6.0000,0.030260,-0.106600,-2.149000,0.025660,-0.206800,-0.645700,0.030265,-0.106621,-2.148775,0.025656,-0.206753,-0.645673,2.247467e-04,0.006589
2,1,6.3000,2.0000,6.0000,0.077540,0.116900,-0.649100,-0.011760,-0.055090,-0.682700,0.077535,0.116919,-0.649131,-0.011762,-0.055091,-0.682682,3.083521e-05,0.000904
3,1,10.5000,2.0000,6.0000,0.128200,0.089810,-0.844300,-0.002209,-0.060640,-0.753500,0.128168,0.089808,-0.844293,-0.002209,-0.060636,-0.753540,3.968671e-05,0.001163
4,1,14.7000,2.0000,6.0000,0.165500,0.105900,-0.744100,-0.000471,-0.052850,-0.647700,0.165544,0.105867,-0.744105,-0.000471,-0.052848,-0.647718,4.423507e-05,0.001297
5,1,18.9000,2.0000,6.0000,0.196700,0.104100,-0.766700,0.000580,-0.053990,-0.660200,0.196687,0.104056,-0.766740,0.000580,-0.053990,-0.660198,4.421823e-05,0.001296
6,1,23.1000,2.0000,6.0000,0.224200,0.110400,-0.733800,0.000264,-0.049950,-0.544000,0.224218,0.110431,-0.733819,0.000264,-0.049954,-0.544031,3.142945e-05,0.000921
7,1,27.3000,2.0000,6.0000,0.248400,0.110100,-0.746900,0.000967,-0.050510,-0.532000,0.248449,0.110069,-0.746945,0.000966,-0.050507,-0.531993,4.857241e-05,0.001424
8,1,31.5000,2.0000,6.0000,0.269100,0.114700,-0.727300,0.000588,-0.047790,-0.418900,0.269090,0.114730,-0.727294,0.000588,-0.047792,-0.418907,2.992145e-05,0.000877
9,1,35.7000,2.0000,6.0000,0.286300,0.115000,-0.738900,0.001483,-0.048220,-0.393600,0.286340,0.115037,-0.738919,0.001483,-0.048219,-0.393622,4.042060e-05,0.001185
10,1,39.9000,2.0000,6.0000,0.300400,0.116800,-0.738000,0.000718,-0.048330,-0.288700,0.300366,0.116750,-0.737980,0.000718,-0.048331,-0.288734,4.996772e-05,0.001465
11,1,44.1000,2.0000,6.0000,0.311400,0.116900,-0.748400,0.001710,-0.048720,-0.267300,0.311367,0.116863,-0.748397,0.001710,-0.048721,-0.267309,3.664695e-05,0.001074
12,1,48.3000,2.0000,6.0000,0.319600,0.117400,-0.754700,0.000753,-0.049460,-0.173800,0.319583,0.117375,-0.754722,0.000753,-0.049455,-0.173794,2.544346e-05,0.000746
13,1,52.5000,2.0000,6.0000,0.325200,0.117500,-0.762600,0.001733,-0.049510,-0.162000,0.325232,0.117534,-0.762575,0.001733,-0.049505,-0.161963,3.742361e-05,0.001097
14,1,56.7000,2.0000,6.0000,0.328800,0.117200,-0.773400,0.000798,-0.050980,-0.080240,0.328800,0.117239,-0.773388,0.000798,-0.050979,-0.080245,3.894418e-05,0.001142
15,1,60.9000,2.0000,6.0000,0.330500,0.117500,-0.778700,0.001586,-0.050990,-0.081920,0.330482,0.117508,-0.778670,0.001586,-0.050992,-0.081917,3.015255e-05,0.000884
16,1,65.1000,2.0000,6.0000,0.330800,0.116800,-0.790300,0.000724,-0.052420,-0.010320,0.330779,0.116849,-0.790252,0.000724,-0.052416,-0.010316,4.888411e-05,0.001433
17,1,69.3000,2.0000,6.0000,0.329700,0.117400,-0.793200,0.001525,-0.052300,-0.024580,0.329743,0.117355,-0.793172,0.001525,-0.052305,-0.024577,4.514203e-05,0.001323
18,1,73.5000,2.0000,6.0000,0.327500,0.116200,-0.804000,0.000498,-0.053950,0.039510,0.327451,0.116241,-0.804026,0.000498,-0.053951,0.039511,4.935788e-05,0.001447
19,1,77.7000,2.0000,6.0000,0.324100,0.116600,-0.805400,0.001389,-0.053720,0.013990,0.324146,0.116580,-0.805358,0.001389,-0.053724,0.013987,4.590631e-05,0.001346
20,1,81.9000,2.0000,6.0000,0.320200,0.115700,-0.814600,0.000425,-0.054560,0.073070,0.320238,0.115677,-0.814571,0.000425,-0.054559,0.073069,3.833077e-05,0.001124
21,1,86.1000,2.0000,6.0000,0.316300,0.116000,-0.814300,0.001335,-0.054350,0.038410,0.316288,0.115985,-0.814256,0.001335,-0.054348,0.038414,4.354119e-05,0.001276
22,1,90.3000,2.0000,6.0000,0.311700,0.115200,-0.821900,0.000423,-0.055310,0.094130,0.311671,0.115241,-0.821870,0.000423,-0.055313,0.094131,4.123475e-05,0.001209
23,1,94.5000,2.0000,6.0000,0.306700,0.115800,-0.820500,0.001088,-0.055010,0.052280,0.306720,0.115805,-0.820487,0.001088,-0.055011,0.052281,2.045952e-05,0.000600
24,1,98.7000,2.0000,6.0000,0.301500,0.115000,-0.826300,0.000183,-0.055550,0.106600,0.301529,0.115027,-0.826346,0.000183,-0.055554,0.106603,4.556042e-05,0.001336
25,1,102.9000,2.0000,6.0000,0.296500,0.115300,-0.824400,0.001040,-0.055480,0.060120,0.296451,0.115306,-0.824375,0.001040,-0.055480,0.060121,4.908306e-05,0.001439
26,1,107.1000,2.0000,6.0000,0.291500,0.114700,-0.828200,0.000147,-0.056030,0.114200,0.291514,0.114691,-0.828237,0.000147,-0.056026,0.114165,3.663587e-05,0.001074
27,1,111.3000,2.0000,6.0000,0.286300,0.114800,-0.825400,0.000798,-0.055660,0.064710,0.286268,0.114837,-0.825395,0.000798,-0.055662,0.064706,3.685005e-05,0.001080
28,1,115.5000,2.0000,6.0000,0.281100,0.114100,-0.828200,-0.000082,-0.055870,0.120600,0.281121,0.114110,-0.828190,-0.000082,-0.055868,0.120645,4.522343e-05,0.001326
29,1,119.7000,2.0000,6.0000,0.276000,0.114200,-0.825200,0.000630,-0.055680,0.070440,0.276025,0.114209,-0.825185,0.000630,-0.055675,0.070444,2.475752e-05,0.000726
30,1,123.9000,2.0000,6.0000,0.270500,0.113800,-0.825000,-0.000141,-0.055580,0.129300,0.270504,0.113848,-0.825047,-0.000141,-0.055577,0.129297,4.835242e-05,0.001418
