
 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 d i s c r e t e  e l e m e n t  d a t a  f o r  t i m e   s t e p     1 ( time = 1.0000E+00 )
                matl               length
      element  number     original        current           force

          1       1      1.60000E-02     1.64867E-02     -1.02746E+02
          2       1      1.60000E-02     1.64945E-02      8.63312E+01
          3       2      1.60000E-02     1.65303E-02     -2.00308E+02
          4       2      1.60000E-02     1.65301E-02      1.83682E+02
          5       2      1.60000E-02     1.65679E-02     -1.94761E+02
          6       2      1.60000E-02     1.65712E-02      1.70613E+02
          7       2      1.60000E-02     1.66093E-02     -1.83130E+02
          8       2      1.60000E-02     1.66096E-02      1.66999E+02
          9       2      1.60000E-02     1.66471E-02     -1.83829E+02
         10       2      1.60000E-02     1.66504E-02      1.60257E+02
         11       2      1.60000E-02     1.66880E-02     -1.76502E+02
         12       2      1.60000E-02     1.66884E-02      1.60928E+02
         13       2      1.60000E-02     1.67247E-02     -1.80041E+02
         14       2      1.60000E-02     1.67283E-02      1.56843E+02
         15       2      1.60000E-02     1.67643E-02     -1.74452E+02
         16       2      1.60000E-02     1.67648E-02      1.59327E+02
         17       2      1.60000E-02     1.67989E-02     -1.79608E+02
         18       2      1.60000E-02     1.68028E-02      1.56412E+02
         19       2      1.60000E-02     1.68362E-02     -1.74939E+02
         20       2      1.60000E-02     1.68368E-02      1.59819E+02
         21       2      1.60000E-02     1.68679E-02     -1.81068E+02
         22       2      1.60000E-02     1.68722E-02      1.57632E+02
         23       2      1.60000E-02     1.69021E-02     -1.76835E+02
         24       2      1.60000E-02     1.69028E-02      1.61744E+02
         25       2      1.60000E-02     1.69302E-02     -1.83561E+02
         26       2      1.60000E-02     1.69348E-02      1.59836E+02
         27       2      1.60000E-02     1.69608E-02     -1.79532E+02
         28       2      1.60000E-02     1.69616E-02      1.64393E+02
         29       2      1.60000E-02     1.69847E-02     -1.86597E+02
         30       2      1.60000E-02     1.69897E-02      1.62523E+02
         31       2      1.60000E-02     1.70114E-02     -1.82607E+02
         32       2      1.60000E-02     1.70123E-02      1.67258E+02
         33       2      1.60000E-02     1.70310E-02     -1.89873E+02
         34       2      1.60000E-02     1.70362E-02      1.65272E+02
         35       2      1.60000E-02     1.70534E-02     -1.85573E+02
         36       2      1.60000E-02     1.70544E-02      1.70113E+02
         37       2      1.60000E-02     1.70685E-02     -1.92878E+02
