
 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
     1  -2.22707E-04  0.00000E+00 -5.28954E-03 
     2   1.90839E-04  0.00000E+00 -5.30734E-03 
     3  -2.22363E-04  7.15428E-06 -5.29351E-03 
     4   1.90840E-04 -6.75061E-06 -5.30073E-03 
     5  -2.22638E-04  1.42853E-05 -5.28080E-03 
     6   1.90838E-04 -1.35497E-05 -5.29768E-03 
     7  -2.22336E-04  2.13807E-05 -5.27403E-03 
     8   1.90782E-04 -2.02107E-05 -5.28284E-03 
     9  -2.22460E-04  2.84187E-05 -5.25366E-03 
    10   1.90761E-04 -2.68752E-05 -5.26959E-03 
    11  -2.22115E-04  3.53995E-05 -5.23733E-03 
    12   1.90676E-04 -3.34882E-05 -5.24600E-03 
    13  -2.22225E-04  4.22966E-05 -5.20783E-03 
    14   1.90647E-04 -4.00192E-05 -5.22367E-03 
    15  -2.21868E-04  4.90813E-05 -5.18251E-03 
    16   1.90573E-04 -4.64443E-05 -5.19108E-03 
    17  -2.21975E-04  5.57216E-05 -5.14425E-03 
    18   1.90571E-04 -5.27469E-05 -5.15978E-03 
    19  -2.21664E-04  6.21741E-05 -5.11003E-03 
    20   1.90542E-04 -5.88705E-05 -5.11855E-03 
    21  -2.21824E-04  6.84047E-05 -5.06271E-03 
    22   1.90607E-04 -6.47253E-05 -5.07922E-03 
    23  -2.21521E-04  7.43858E-05 -5.02159E-03 
    24   1.90758E-04 -7.04767E-05 -5.02898E-03 
    25  -2.22169E-04  8.00315E-05 -4.96481E-03 
    26   1.91232E-04 -7.60108E-05 -4.98198E-03 
    27  -2.22651E-04  0.00000E+00 -5.44421E-03 
    28   1.91779E-04  0.00000E+00 -5.44655E-03 
    29  -2.22634E-04  7.14595E-06 -5.44385E-03 
    30   1.91675E-04 -6.76288E-06 -5.44222E-03 
    31  -2.22600E-04  1.42801E-05 -5.43537E-03 
    32   1.91742E-04 -1.35423E-05 -5.43690E-03 
    33  -2.22540E-04  2.13574E-05 -5.42481E-03 
    34   1.91630E-04 -2.02342E-05 -5.42398E-03 
    35  -2.22436E-04  2.83862E-05 -5.40779E-03 
    36   1.91639E-04 -2.68976E-05 -5.40893E-03 
    37  -2.22313E-04  3.53638E-05 -5.38787E-03 
    38   1.91503E-04 -3.35129E-05 -5.38711E-03 
    39  -2.22179E-04  4.22572E-05 -5.36177E-03 
    40   1.91500E-04 -4.00520E-05 -5.36293E-03 
    41  -2.22036E-04  4.90414E-05 -5.33285E-03 
    42   1.91365E-04 -4.64907E-05 -5.33211E-03 
    43  -2.21896E-04  5.56868E-05 -5.29790E-03 
    44   1.91376E-04 -5.28009E-05 -5.29902E-03 
    45  -2.21770E-04  6.21445E-05 -5.26028E-03 
    46   1.91277E-04 -5.89369E-05 -5.25946E-03 
    47  -2.21647E-04  6.83901E-05 -5.21673E-03 
    48   1.91348E-04 -6.48588E-05 -5.21806E-03 
    49  -2.21595E-04  7.44276E-05 -5.17174E-03 
    50   1.91331E-04 -7.05840E-05 -5.16964E-03 

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
    51  -2.21711E-04  8.00792E-05 -5.12182E-03 
    52   1.91611E-04 -7.60357E-05 -5.11895E-03 
    53  -2.21703E-04  0.00000E+00 -5.58885E-03 
    54   1.91123E-04  0.00000E+00 -5.59443E-03 
    55  -2.21698E-04  7.16218E-06 -5.58873E-03 
    56   1.91107E-04 -6.79065E-06 -5.59048E-03 
    57  -2.21646E-04  1.42997E-05 -5.57967E-03 
    58   1.91080E-04 -1.35840E-05 -5.58497E-03 
    59  -2.21581E-04  2.13978E-05 -5.56974E-03 
    60   1.91036E-04 -2.03008E-05 -5.57209E-03 
    61  -2.21469E-04  2.84390E-05 -5.55201E-03 
    62   1.90970E-04 -2.69902E-05 -5.55690E-03 
    63  -2.21346E-04  3.54219E-05 -5.53269E-03 
    64   1.90894E-04 -3.36220E-05 -5.53504E-03 
    65  -2.21190E-04  4.23192E-05 -5.50585E-03 
    66   1.90809E-04 -4.01742E-05 -5.51072E-03 
    67  -2.21038E-04  4.91022E-05 -5.47752E-03 
    68   1.90724E-04 -4.66201E-05 -5.47985E-03 
    69  -2.20866E-04  5.57391E-05 -5.44184E-03 
    70   1.90642E-04 -5.29340E-05 -5.44663E-03 
    71  -2.20709E-04  6.21905E-05 -5.40479E-03 
    72   1.90577E-04 -5.90789E-05 -5.40708E-03 
    73  -2.20545E-04  6.84304E-05 -5.36051E-03 
    74   1.90527E-04 -6.50173E-05 -5.36554E-03 
    75  -2.20436E-04  7.44219E-05 -5.31515E-03 
    76   1.90499E-04 -7.07465E-05 -5.31796E-03 
    77  -2.20348E-04  8.00359E-05 -5.26221E-03 
    78   1.90522E-04 -7.61440E-05 -5.26886E-03 
    79  -2.19308E-04  0.00000E+00 -5.73608E-03 
    80   1.89228E-04  0.00000E+00 -5.73861E-03 
    81  -2.19292E-04  7.18147E-06 -5.73472E-03 
    82   1.89211E-04 -6.81876E-06 -5.73528E-03 
    83  -2.19243E-04  1.43420E-05 -5.72694E-03 
    84   1.89185E-04 -1.36402E-05 -5.72905E-03 
    85  -2.19163E-04  2.14592E-05 -5.71570E-03 
    86   1.89127E-04 -2.03905E-05 -5.71677E-03 
    87  -2.19051E-04  2.85203E-05 -5.69907E-03 
    88   1.89060E-04 -2.71038E-05 -5.70095E-03 
    89  -2.18912E-04  3.55173E-05 -5.67850E-03 
    90   1.88967E-04 -3.37585E-05 -5.67959E-03 
    91  -2.18750E-04  4.24236E-05 -5.65273E-03 
    92   1.88872E-04 -4.03281E-05 -5.65460E-03 
    93  -2.18572E-04  4.92102E-05 -5.62313E-03 
    94   1.88761E-04 -4.67870E-05 -5.62421E-03 
    95  -2.18381E-04  5.58456E-05 -5.58849E-03 
    96   1.88658E-04 -5.31068E-05 -5.59033E-03 
    97  -2.18184E-04  6.22935E-05 -5.55020E-03 
    98   1.88552E-04 -5.92512E-05 -5.55123E-03 
    99  -2.17991E-04  6.85204E-05 -5.50708E-03 
   100   1.88466E-04 -6.51796E-05 -5.50888E-03 

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   101  -2.17812E-04  7.44741E-05 -5.46088E-03 
   102   1.88394E-04 -7.08500E-05 -5.46133E-03 
   103  -2.17652E-04  8.00671E-05 -5.41081E-03 
   104   1.88359E-04 -7.62252E-05 -5.41037E-03 
   105  -2.15531E-04  0.00000E+00 -5.87818E-03 
   106   1.85995E-04  0.00000E+00 -5.88285E-03 
   107  -2.15515E-04  7.20672E-06 -5.87765E-03 
   108   1.85983E-04 -6.85237E-06 -5.87920E-03 
   109  -2.15462E-04  1.43924E-05 -5.86892E-03 
   110   1.85948E-04 -1.37041E-05 -5.87332E-03 
   111  -2.15376E-04  2.15348E-05 -5.85857E-03 
   112   1.85888E-04 -2.04852E-05 -5.86061E-03 
   113  -2.15255E-04  2.86192E-05 -5.84099E-03 
   114   1.85808E-04 -2.72299E-05 -5.84505E-03 
   115  -2.15107E-04  3.56351E-05 -5.82122E-03 
   116   1.85708E-04 -3.39098E-05 -5.82325E-03 
   117  -2.14930E-04  4.25553E-05 -5.79446E-03 
   118   1.85593E-04 -4.05002E-05 -5.79851E-03 
   119  -2.14733E-04  4.93513E-05 -5.76564E-03 
   120   1.85466E-04 -4.69746E-05 -5.76765E-03 
   121  -2.14517E-04  5.59912E-05 -5.73000E-03 
   122   1.85333E-04 -5.33050E-05 -5.73399E-03 
   123  -2.14293E-04  6.24365E-05 -5.69243E-03 
   124   1.85199E-04 -5.94537E-05 -5.69443E-03 
   125  -2.14064E-04  6.86479E-05 -5.64821E-03 
   126   1.85070E-04 -6.53766E-05 -5.65240E-03 
   127  -2.13839E-04  7.45896E-05 -5.60254E-03 
   128   1.84953E-04 -7.10687E-05 -5.60469E-03 
   129  -2.13624E-04  8.01639E-05 -5.54987E-03 
   130   1.84852E-04 -7.64292E-05 -5.55510E-03 
   131  -2.10464E-04  0.00000E+00 -6.01977E-03 
   132   1.81546E-04  0.00000E+00 -6.02237E-03 
   133  -2.10446E-04  7.23604E-06 -6.01832E-03 
   134   1.81531E-04 -6.88449E-06 -6.01912E-03 
   135  -2.10390E-04  1.44519E-05 -6.01057E-03 
   136   1.81493E-04 -1.37733E-05 -6.01273E-03 
   137  -2.10297E-04  2.16220E-05 -5.99915E-03 
   138   1.81426E-04 -2.05903E-05 -6.00043E-03 
   139  -2.10170E-04  2.87318E-05 -5.98243E-03 
   140   1.81338E-04 -2.73645E-05 -5.98438E-03 
   141  -2.10010E-04  3.57706E-05 -5.96161E-03 
   142   1.81225E-04 -3.40722E-05 -5.96291E-03 
   143  -2.09820E-04  4.27095E-05 -5.93569E-03 
   144   1.81097E-04 -4.06862E-05 -5.93763E-03 
   145  -2.09605E-04  4.95208E-05 -5.90579E-03 
   146   1.80950E-04 -4.71808E-05 -5.90707E-03 
   147  -2.09369E-04  5.61711E-05 -5.87094E-03 
   148   1.80794E-04 -5.35254E-05 -5.87285E-03 
   149  -2.09118E-04  6.26205E-05 -5.83231E-03 
   150   1.80630E-04 -5.96811E-05 -5.83355E-03 

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   151  -2.08855E-04  6.88341E-05 -5.78896E-03 
   152   1.80466E-04 -6.56046E-05 -5.79088E-03 
   153  -2.08589E-04  7.47641E-05 -5.74247E-03 
   154   1.80302E-04 -7.12603E-05 -5.74312E-03 
   155  -2.08325E-04  8.03308E-05 -5.69215E-03 
   156   1.80150E-04 -7.66162E-05 -5.69190E-03 
   157  -2.04235E-04  0.00000E+00 -6.15515E-03 
   158   1.75979E-04  0.00000E+00 -6.15957E-03 
   159  -2.04216E-04  7.26886E-06 -6.15448E-03 
   160   1.75964E-04 -6.92468E-06 -6.15598E-03 
   161  -2.04156E-04  1.45157E-05 -6.14576E-03 
   162   1.75922E-04 -1.38461E-05 -6.14997E-03 
   163  -2.04059E-04  2.17173E-05 -6.13522E-03 
   164   1.75851E-04 -2.06968E-05 -6.13720E-03 
