element_id,layer,cx_in,cy_in,cz_in,po_sx,po_sy,po_sz,po_sxy,po_syz,po_szx,ae_sx,ae_sy,ae_sz,ae_sxy,ae_syz,ae_sxz,max_abs_diff_psi,rel_to_peak_pct
1,1,2.1000,2.0000,6.0000,0.029230,-0.122600,-2.158000,0.025880,-0.209500,-0.650800,0.029225,-0.122606,-2.157828,0.025875,-0.209508,-0.650834,1.722183e-04,0.005046
2,1,6.3000,2.0000,6.0000,0.076010,0.103400,-0.644100,-0.012060,-0.055660,-0.686500,0.076007,0.103438,-0.644091,-0.012063,-0.055658,-0.686538,3.824608e-05,0.001121
3,1,10.5000,2.0000,6.0000,0.126300,0.076780,-0.838300,-0.002366,-0.061300,-0.751200,0.126343,0.076775,-0.838258,-0.002366,-0.061303,-0.751207,4.328362e-05,0.001268
4,1,14.7000,2.0000,6.0000,0.163400,0.093280,-0.736600,-0.000608,-0.053450,-0.640600,0.163395,0.093285,-0.736613,-0.000608,-0.053454,-0.640594,1.331384e-05,0.000390
5,1,18.9000,2.0000,6.0000,0.194000,0.091730,-0.759000,0.000504,-0.054630,-0.645500,0.194006,0.091732,-0.758965,0.000504,-0.054626,-0.645501,3.513282e-05,0.001029
6,1,23.1000,2.0000,6.0000,0.221000,0.097770,-0.728700,0.000208,-0.050810,-0.524600,0.220956,0.097770,-0.728703,0.000208,-0.050813,-0.524605,4.434795e-05,0.001299
7,1,27.3000,2.0000,6.0000,0.244200,0.097230,-0.742100,0.001045,-0.051290,-0.507300,0.244174,0.097228,-0.742051,0.001045,-0.051293,-0.507340,4.871045e-05,0.001427
8,1,31.5000,2.0000,6.0000,0.263800,0.101200,-0.726000,0.000605,-0.049240,-0.390900,0.263801,0.101155,-0.725979,0.000605,-0.049238,-0.390938,4.542642e-05,0.001331
9,1,35.7000,2.0000,6.0000,0.279900,0.101100,-0.737800,0.001392,-0.049730,-0.363800,0.279939,0.101143,-0.737755,0.001392,-0.049725,-0.363779,4.518108e-05,0.001324
10,1,39.9000,2.0000,6.0000,0.293000,0.102400,-0.740100,0.000682,-0.050230,-0.256700,0.293026,0.102393,-0.740064,0.000682,-0.050226,-0.256741,4.052240e-05,0.001187
11,1,44.1000,2.0000,6.0000,0.302600,0.102500,-0.750300,0.001542,-0.050490,-0.236300,0.302591,0.102456,-0.750292,0.001542,-0.050488,-0.236302,4.390817e-05,0.001286
12,1,48.3000,2.0000,6.0000,0.309400,0.102200,-0.759700,0.000730,-0.051780,-0.141700,0.309370,0.102235,-0.759695,0.000730,-0.051777,-0.141712,3.549795e-05,0.001040
13,1,52.5000,2.0000,6.0000,0.313700,0.102200,-0.767000,0.001721,-0.052000,-0.133500,0.313693,0.102234,-0.767036,0.001721,-0.051996,-0.133488,3.560645e-05,0.001043
14,1,56.7000,2.0000,6.0000,0.316200,0.101300,-0.779500,0.000767,-0.053650,-0.051060,0.316204,0.101309,-0.779509,0.000767,-0.053647,-0.051063,9.131831e-06,0.000268
15,1,60.9000,2.0000,6.0000,0.317200,0.101300,-0.784200,0.001587,-0.053560,-0.057210,0.317183,0.101328,-0.784191,0.001587,-0.053555,-0.057211,2.808997e-05,0.000823
16,1,65.1000,2.0000,6.0000,0.316200,0.100100,-0.796800,0.000621,-0.055180,0.015240,0.316151,0.100142,-0.796798,0.000621,-0.055183,0.015235,4.909680e-05,0.001439
17,1,69.3000,2.0000,6.0000,0.313700,0.100400,-0.799200,0.001373,-0.054980,-0.004311,0.313710,0.100361,-0.799232,0.001373,-0.054983,-0.004311,3.931014e-05,0.001152
18,1,73.5000,2.0000,6.0000,0.310900,0.099050,-0.810700,0.000513,-0.056340,0.061150,0.310866,0.099046,-0.810667,0.000512,-0.056339,0.061153,3.414621e-05,0.001000
19,1,77.7000,2.0000,6.0000,0.307300,0.099390,-0.811300,0.001314,-0.056010,0.029760,0.307255,0.099386,-0.811256,0.001314,-0.056012,0.029759,4.476193e-05,0.001312
20,1,81.9000,2.0000,6.0000,0.302600,0.098470,-0.821100,0.000344,-0.057310,0.089980,0.302635,0.098471,-0.821077,0.000344,-0.057311,0.089977,3.537333e-05,0.001036
21,1,86.1000,2.0000,6.0000,0.297700,0.098730,-0.820600,0.001127,-0.057050,0.049440,0.297699,0.098727,-0.820600,0.001127,-0.057052,0.049445,4.720803e-06,0.000138
22,1,90.3000,2.0000,6.0000,0.292800,0.097510,-0.828300,0.000351,-0.057860,0.107200,0.292805,0.097514,-0.828264,0.000351,-0.057861,0.107212,3.614884e-05,0.001059
23,1,94.5000,2.0000,6.0000,0.287500,0.097780,-0.826800,0.001071,-0.057800,0.059440,0.287454,0.097779,-0.826793,0.001071,-0.057803,0.059438,4.637723e-05,0.001359
24,1,98.7000,2.0000,6.0000,0.282300,0.097140,-0.832400,0.000170,-0.058540,0.115500,0.282277,0.097135,-0.832417,0.000170,-0.058537,0.115493,2.336543e-05,0.000685
25,1,102.9000,2.0000,6.0000,0.276900,0.097460,-0.830000,0.000903,-0.058230,0.062840,0.276932,0.097459,-0.830047,0.000903,-0.058227,0.062842,4.709188e-05,0.001380
26,1,107.1000,2.0000,6.0000,0.271500,0.096630,-0.834200,0.000179,-0.058510,0.119500,0.271450,0.096631,-0.834225,0.000179,-0.058506,0.119469,4.998567e-05,0.001465
27,1,111.3000,2.0000,6.0000,0.266400,0.096690,-0.831400,0.000794,-0.058400,0.063830,0.266429,0.096688,-0.831439,0.000794,-0.058397,0.063833,3.926687e-05,0.001151
28,1,115.5000,2.0000,6.0000,0.261200,0.095880,-0.834100,-0.000099,-0.058660,0.122000,0.261193,0.095875,-0.834123,-0.000099,-0.058659,0.122037,3.740836e-05,0.001096
29,1,119.7000,2.0000,6.0000,0.256100,0.096000,-0.830900,0.000621,-0.058250,0.065710,0.256089,0.096005,-0.830925,0.000621,-0.058251,0.065714,2.455426e-05,0.000719
30,1,123.9000,2.0000,6.0000,0.251100,0.095680,-0.831100,-0.000061,-0.058250,0.127000,0.251110,0.095685,-0.831053,-0.000061,-0.058250,0.127011,4.661627e-05,0.001366
31,1,128.1000,2.0000,6.0000,0.245800,0.095700,-0.827000,0.000454,-0.058180,0.071200,0.245755,0.095700,-0.826998,0.000454,-0.058182,0.071198,4.487864e-05,0.001315
32,1,132.3000,2.0000,6.0000,0.240400,0.095110,-0.825900,-0.000283,-0.057740,0.135600,0.240444,0.095107,-0.825901,-0.000283,-0.057739,0.135588,4.356271e-05,0.001276
33,1,136.5000,2.0000,6.0000,0.235000,0.094920,-0.821500,0.000309,-0.057500,0.082590,0.235049,0.094921,-0.821547,0.000309,-0.057499,0.082591,4.926706e-05,0.001444
34,1,140.7000,2.0000,6.0000,0.229000,0.094490,-0.819300,-0.000279,-0.057240,0.152200,0.229034,0.094491,-0.819313,-0.000279,-0.057243,0.152216,3.367772e-05,0.000987
35,1,144.9000,2.0000,6.0000,0.223000,0.094510,-0.813700,0.000278,-0.057050,0.102700,0.222956,0.094505,-0.813663,0.000278,-0.057047,0.102730,4.373235e-05,0.001281
36,1,149.1000,2.0000,6.0000,0.216000,0.094550,-0.806300,-0.000339,-0.055890,0.179300,0.216019,0.094553,-0.806276,-0.000339,-0.055888,0.179339,3.908926e-05,0.001145
37,1,153.3000,2.0000,6.0000,0.208300,0.094050,-0.800700,0.000437,-0.055700,0.138800,0.208316,0.094051,-0.800696,0.000437,-0.055702,0.138842,4.232929e-05,0.001240
38,1,157.5000,2.0000,6.0000,0.200300,0.089090,-0.824000,0.000117,-0.058540,0.218900,0.200334,0.089092,-0.824001,0.000117,-0.058542,0.218859,4.050300e-05,0.001187
39,1,161.7000,2.0000,6.0000,0.190600,0.093820,-0.780300,0.003589,-0.050720,0.164400,0.190633,0.093818,-0.780296,0.003589,-0.050718,0.164409,3.312992e-05,0.000971
40,1,165.9000,2.0000,6.0000,0.180600,0.107400,-0.677600,0.006381,-0.087640,0.302600,0.180595,0.107412,-0.677557,0.006381,-0.087643,0.302607,4.258722e-05,0.001248
41,1,2.1000,6.0000,6.0000,0.037590,-0.124800,-2.014000,-0.021090,0.187600,-0.646600,0.037587,-0.124775,-2.013965,-0.021091,0.187581,-0.646636,3.634437e-05,0.001065
42,1,6.3000,6.0000,6.0000,0.090320,0.105600,-0.551300,0.010350,0.055660,-0.677400,0.090320,0.105590,-0.551252,0.010354,0.055658,-0.677379,4.845600e-05,0.001420
43,1,10.5000,6.0000,6.0000,0.136500,0.074430,-0.779100,0.002859,0.070030,-0.754600,0.136539,0.074427,-0.779075,0.002859,0.070027,-0.754559,4.148509e-05,0.001216
44,1,14.7000,6.0000,6.0000,0.172300,0.092390,-0.678000,0.002130,0.062850,-0.637500,0.172338,0.092386,-0.678008,0.002130,0.062853,-0.637535,3.830585e-05,0.001122
45,1,18.9000,6.0000,6.0000,0.202800,0.090940,-0.698100,0.002625,0.063600,-0.649200,0.202846,0.090943,-0.698106,0.002625,0.063602,-0.649179,4.590567e-05,0.001345
46,1,23.1000,6.0000,6.0000,0.229400,0.096600,-0.672800,0.002061,0.061830,-0.518900,0.229371,0.096603,-0.672816,0.002061,0.061828,-0.518928,2.916973e-05,0.000855
47,1,27.3000,6.0000,6.0000,0.252500,0.096590,-0.684000,0.002840,0.062840,-0.512800,0.252509,0.096592,-0.683974,0.002840,0.062838,-0.512823,2.558673e-05,0.000750
48,1,31.5000,6.0000,6.0000,0.272000,0.100500,-0.670700,0.002547,0.062700,-0.383900,0.271977,0.100463,-0.670652,0.002547,0.062703,-0.383907,4.778206e-05,0.001400
49,1,35.7000,6.0000,6.0000,0.288200,0.100700,-0.680100,0.003262,0.063640,-0.370500,0.288203,0.100712,-0.680085,0.003262,0.063637,-0.370514,1.450754e-05,0.000425
50,1,39.9000,6.0000,6.0000,0.301100,0.101700,-0.683800,0.002571,0.065180,-0.248800,0.301125,0.101657,-0.683789,0.002571,0.065176,-0.248846,4.596953e-05,0.001347
51,1,44.1000,6.0000,6.0000,0.310900,0.101700,-0.691700,0.003334,0.065540,-0.243800,0.310938,0.101683,-0.691698,0.003334,0.065542,-0.243849,4.890332e-05,0.001433
52,1,48.3000,6.0000,6.0000,0.318000,0.101400,-0.700900,0.002214,0.067660,-0.133300,0.317980,0.101369,-0.700939,0.002214,0.067662,-0.133296,3.867171e-05,0.001133
53,1,52.5000,6.0000,6.0000,0.322500,0.101400,-0.706900,0.003366,0.068230,-0.141700,0.322533,0.101433,-0.706922,0.003366,0.068229,-0.141701,3.339834e-05,0.000979
54,1,56.7000,6.0000,6.0000,0.325000,0.100600,-0.718900,0.002289,0.070410,-0.042390,0.325036,0.100568,-0.718919,0.002289,0.070415,-0.042390,3.620708e-05,0.001061
55,1,60.9000,6.0000,6.0000,0.325900,0.100700,-0.722800,0.003186,0.070600,-0.065610,0.325881,0.100743,-0.722821,0.003186,0.070603,-0.065613,4.317814e-05,0.001265
56,1,65.1000,6.0000,6.0000,0.325000,0.099500,-0.734400,0.002152,0.072670,0.024000,0.325004,0.099502,-0.734416,0.002152,0.072673,0.023997,1.614283e-05,0.000473
57,1,69.3000,6.0000,6.0000,0.323000,0.099610,-0.736300,0.002944,0.073080,-0.012650,0.322981,0.099615,-0.736261,0.002944,0.073079,-0.012653,3.873539e-05,0.001135
58,1,73.5000,6.0000,6.0000,0.320100,0.098430,-0.747000,0.001827,0.074680,0.069580,0.320084,0.098435,-0.747012,0.001827,0.074675,0.069580,1.592754e-05,0.000467
59,1,77.7000,6.0000,6.0000,0.316300,0.098760,-0.747400,0.002757,0.074700,0.021730,0.316258,0.098764,-0.747425,0.002757,0.074703,0.021731,4.220254e-05,0.001237
60,1,81.9000,6.0000,6.0000,0.312200,0.097700,-0.756100,0.001710,0.076110,0.098240,0.312167,0.097704,-0.756128,0.001710,0.076105,0.098243,3.338427e-05,0.000978
61,1,86.1000,6.0000,6.0000,0.307500,0.097890,-0.755500,0.002279,0.076510,0.041740,0.307491,0.097894,-0.755529,0.002279,0.076513,0.041742,2.895135e-05,0.000848
62,1,90.3000,6.0000,6.0000,0.302300,0.096980,-0.762200,0.001364,0.077650,0.115000,0.302308,0.096977,-0.762211,0.001364,0.077646,0.115028,2.779641e-05,0.000814
63,1,94.5000,6.0000,6.0000,0.297000,0.097140,-0.761300,0.002240,0.077550,0.051700,0.297017,0.097144,-0.761313,0.002240,0.077550,0.051696,1.691099e-05,0.000495
64,1,98.7000,6.0000,6.0000,0.291800,0.096110,-0.766600,0.001211,0.078050,0.123300,0.291809,0.096113,-0.766640,0.001211,0.078051,0.123330,4.024821e-05,0.001179
65,1,102.9000,6.0000,6.0000,0.286400,0.096260,-0.765100,0.001954,0.078100,0.055550,0.286422,0.096264,-0.765104,0.001954,0.078104,0.055550,2.178971e-05,0.000638
66,1,107.1000,6.0000,6.0000,0.281100,0.095730,-0.768300,0.000821,0.078320,0.126700,0.281095,0.095728,-0.768280,0.000821,0.078321,0.126701,2.019277e-05,0.000592
