rank,icao,mtow_lb,gear,annual_departures,growth_rate,cdf_contribution,source
1,C17,585000,2D,895.50,-0.0050,1.416402e+04,batch_FEM
2,B738,174200,D,326.25,-0.0050,3.362469e+03,batch_FEM
3,P3,135000,D,219.88,-0.0050,1.128644e+03,batch_FEM
4,B739,187700,D,52.88,-0.0050,5.448419e+02,batch_FEM
5,B737,154500,D,50.38,-0.0050,5.173890e+02,batch_FEM
6,BE99,10400,D,164.86,-0.0050,1.332441e-07,LEAF_only_supplement
7,PC12,9039,S,261.88,-0.0050,1.131978e-07,LEAF_only_supplement
8,MRJ9,85980,D,129.60,-0.0050,1.071784e-07,LEAF_only_supplement
9,C208,7800,S,219.75,-0.0050,9.498888e-08,LEAF_only_supplement
10,B350,16500,D,107.38,-0.0050,9.135201e-08,LEAF_only_supplement
